,UPLC Profile,"Time(min)","Flow Rate(mL/min)","% A(0.1% PA inH2O)","% B(0.1% PA in ACN)",Curve
0,Initial,0.6,60.0,40.0,Initial,
1,0.20,0.6,60.0,40.0,6,
2,2.20,0.6,50.0,50.0,6,
3,2.21,0.6,5.0,95.0,6,
4,2.70,0.6,5.0,95.0,6,
5,2.71,0.6,60.0,40.0,6,
6,3.00,0.6,60.0,40.0,6,
