,Wash Type,Wash Solvent,Wash Volume (μL),Wash Time (min)
0,Weak Wash,ACN/H2O/FA [20/80/0.1],600,N/A
1,Strong Wash,"ACN/IPA/Acetone/FA[50/40/10/0.05]",200,N/A
2,Seal Wash,ACN/H2O [10/90],N/A,5.00
