,Category,Manufacturer,Components
0,Mass Spectrometer,Applied Biosystems,API-5500 MS/MS
1,LC,Waters,"Acquity Binary Solvent ManagerAcquity Sample ManagerAcquity Sample OrganizerAcquity Column Manager"
2,Liquid Handling,Hamilton,MicroLab Star
