,Category (Equipment),Manufacturer
0,Microbalance,Sartorius
1,Analytical Balance,"SartoriusOhaus"
2,Mini Vortexer,"FisherScientific Industries"
3,Multi-tube vortex mixer,"VWRFisher"
4,Thermomixer,Eppendorf
5,Microplate De-Froster,"Integrated TechnologiesLtd."
6,Refrigerated centrifuge,"BeckmanEppendorf"
7,Rotator,Glas-Col
8,Column Heater,Waters Acquity
9,Plate sealer,"CorningMatrix"
